task	vernal	rna3dmotif	bgsu	carnaval
rna	(0.6382620323148422, 0.5051340745138904)	(0.5626151274956023, 0.5086953618240327)	(0.5621333644761384, 0.5077884805094847)	(0.5630685364758751, 0.5100273199412549)
ion	(0.5398123308087721, 0.3728799261895347)	(0.5117505652381098, 0.3815687765509829)	(0.5081919477649015, 0.3839908345246424)	(0.41274771623526074, 0.37814987174417775)
ligand	(0.4691689008042895, 0.25147453083109916)	(0.38284182305630027, 0.22466487935656834)	(0.3254691689008043, 0.24289544235924937)	(0.3935656836461126, 0.22466487935656837)
protein	(0.853089943487977, 0.7319037149047323)	(0.8407808503241858, 0.732588338150566)	(0.8405907874962093, 0.7311128064467953)	(0.8405764816369381, 0.7311475489555177)
